code_tract,pop_abs,pop_mulheres,perc_mulheres,pop_homens,perc_homens,idade_mediana,idade_media
330100905080113,503,266,0.5288270377733598,237,0.4711729622266402,31.944444444444443,34.806163021868784
330100905080114,384,194,0.5052083333333334,190,0.4947916666666667,32.54545454545455,34.765625
330100905080119,629,324,0.5151033386327504,305,0.4848966613672496,24.595588235294116,28.46343402225755
330100905080120,831,432,0.51985559566787,399,0.48014440433212996,33.44961240310077,34.55294825511432
330100905080121,661,339,0.5128593040847201,322,0.48714069591527986,31.666666666666668,33.00302571860817
330100905080122,160,86,0.5375,74,0.4625,28.529411764705884,31.328125
330100905080123,NA,NA,NA,NA,NA,NA,NA
330100905080126,572,269,0.47027972027972026,303,0.5297202797202797,24.310344827586206,26.84090909090909
330100905080127,468,256,0.5470085470085471,212,0.452991452991453,41.791044776119406,40.56196581196581
330100905080128,619,337,0.5444264943457189,282,0.4555735056542811,40.35,38.54765751211632
330100905080129,428,235,0.5490654205607477,193,0.45093457943925236,37.755102040816325,37.929906542056074
330100905080130,515,275,0.5339805825242718,240,0.46601941747572817,35.564516129032256,36.37961165048544
330100905080131,589,321,0.5449915110356537,268,0.45500848896434637,32.91044776119403,34.73938879456706
330100905080132,739,379,0.5128552097428958,360,0.4871447902571042,31.61764705882353,33.17794316644114
330100905080135,354,180,0.5084745762711864,174,0.4915254237288136,35.08474576271186,35.38135593220339
330100905080137,726,375,0.5165289256198347,351,0.4834710743801653,30.5,32.976584022038566
330100905080138,273,149,0.5457875457875457,124,0.4542124542124542,30.714285714285715,33.06959706959707
330100905080139,883,482,0.5458663646659117,401,0.45413363533408835,31.39830508474576,32.96206115515289
330100905080142,312,133,0.42628205128205127,179,0.5737179487179487,37.659574468085104,37.118589743589745
330100905080143,248,141,0.5685483870967742,107,0.4314516129032258,47.5,44.854838709677416
330100905080144,505,252,0.499009900990099,253,0.500990099009901,42.45454545454545,41.33564356435644
330100905080145,318,166,0.5220125786163522,152,0.4779874213836478,36.38297872340426,37.47641509433962
330100905080147,553,287,0.5189873417721519,266,0.4810126582278481,33.125,34.629294755877034
330100905080148,514,270,0.5252918287937743,244,0.47470817120622566,37.868852459016395,36.530155642023345
330100905080149,391,222,0.5677749360613811,169,0.4322250639386189,42.232142857142854,40.5
330100905080152,433,240,0.5542725173210161,193,0.4457274826789838,39.73684210526316,40.2933025404157
330100905080153,413,217,0.5254237288135594,196,0.4745762711864407,34.910714285714285,35.81961259079903
330100905080154,376,199,0.5292553191489362,177,0.47074468085106386,38.333333333333336,38.03989361702128
330100905080155,330,176,0.5333333333333333,154,0.4666666666666667,34.35897435897436,35.71818181818182
330100905080156,890,477,0.5359550561797752,413,0.4640449438202247,40.05988023952096,37.74887640449438
330100905080157,300,144,0.48,156,0.52,35.58139534883721,36.376666666666665
330100905080158,340,171,0.5029411764705882,169,0.4970588235294118,40.256410256410255,40.57941176470588
330100905080159,633,330,0.5213270142180095,303,0.4786729857819905,35.88607594936709,36.682464454976305
330100905080161,574,315,0.5487804878048781,259,0.45121951219512196,32,33.88414634146341
330100905080163,94,51,0.5425531914893617,43,0.4574468085106383,39.375,38.909574468085104
